Spannung U1	Strom IA
U1/V	IA/nA

0,02	0,20
0,04	0,20
0,07	0,19
0,09	0,18
0,12	0,18
0,14	0,18
0,17	0,17
0,19	0,19
0,21	0,19
0,24	0,19
0,26	0,19
0,29	0,19
0,31	0,21
0,34	0,21
0,36	0,20
0,39	0,20
0,41	0,19
0,43	0,19
0,46	0,19
0,48	0,17
0,51	0,18
0,53	0,17
0,56	0,17
0,58	0,19
0,61	0,19
0,63	0,18
0,65	0,18
0,68	0,18
0,70	0,18
0,73	0,18
0,75	0,17
0,78	0,17
0,80	0,17
0,83	0,18
0,85	0,19
0,87	0,20
0,90	0,20
0,92	0,21
0,95	0,21
0,97	0,21
1,00	0,20
1,02	0,20
1,05	0,21
1,07	0,21
1,09	0,20
1,12	0,20
1,14	0,18
1,17	0,19
1,19	0,18
1,22	0,17
1,24	0,18
1,26	0,16
1,29	0,17
1,31	0,19
1,34	0,19
1,36	0,19
1,39	0,20
1,41	0,20
1,44	0,20
1,46	0,20
1,48	0,19
1,51	0,19
1,53	0,18
1,56	0,18
1,58	0,18
1,61	0,19
1,63	0,20
1,66	0,21
1,68	0,21
1,70	0,22
1,73	0,22
1,75	0,21
1,78	0,21
1,80	0,20
1,83	0,19
1,85	0,19
1,88	0,17
1,90	0,17
1,92	0,18
1,95	0,17
1,97	0,18
2,00	0,17
2,02	0,17
2,05	0,19
2,07	0,20
2,10	0,20
2,12	0,20
2,14	0,19
2,17	0,21
2,19	0,21
2,22	0,20
2,24	0,20
2,27	0,20
2,29	0,20
2,31	0,20
2,34	0,19
2,36	0,19
2,39	0,19
2,41	0,19
2,44	0,19
2,46	0,19
2,49	0,19
2,51	0,21
2,53	0,21
2,56	0,20
2,58	0,19
2,61	0,17
2,63	0,17
2,66	0,17
2,68	0,15
2,71	0,15
2,73	0,16
2,75	0,16
2,78	0,19
2,80	0,19
2,83	0,19
2,85	0,19
2,88	0,19
2,90	0,19
2,93	0,18
2,95	0,18
2,97	0,18
3,00	0,18
3,02	0,18
3,05	0,18
3,07	0,19
3,10	0,20
3,12	0,20
3,15	0,19
3,17	0,19
3,19	0,19
3,22	0,18
3,24	0,19
3,27	0,19
3,29	0,19
3,32	0,19
3,34	0,17
3,36	0,19
3,39	0,19
3,41	0,18
3,44	0,19
3,46	0,18
3,49	0,18
3,51	0,21
3,54	0,20
3,56	0,20
3,58	0,20
3,61	0,19
3,63	0,20
3,66	0,20
3,68	0,18
3,71	0,18
3,73	0,18
3,76	0,18
3,78	0,18
3,80	0,18
3,83	0,18
3,85	0,19
3,88	0,19
3,90	0,19
3,93	0,20
3,95	0,20
3,98	0,21
4,00	0,21
4,02	0,21
4,05	0,21
4,07	0,20
4,10	0,19
4,12	0,19
4,15	0,18
4,17	0,18
4,20	0,17
4,22	0,17
4,24	0,19
4,27	0,19
4,29	0,19
4,32	0,19
4,34	0,19
4,37	0,20
4,39	0,20
4,42	0,19
4,44	0,18
4,46	0,18
4,49	0,18
4,51	0,18
4,54	0,19
4,56	0,19
4,59	0,19
4,61	0,19
4,63	0,21
4,66	0,20
4,68	0,20
4,71	0,21
4,73	0,22
4,76	0,21
4,78	0,20
4,81	0,19
4,83	0,19
4,85	0,19
4,88	0,17
4,90	0,18
4,93	0,18
4,95	0,18
4,98	0,22
5,00	0,21
5,03	0,20
5,05	0,21
5,07	0,20
5,10	0,20
5,12	0,20
5,15	0,18
5,17	0,18
5,20	0,18
5,22	0,18
5,25	0,19
5,27	0,19
5,29	0,19
5,32	0,19
5,34	0,19
5,37	0,19
5,39	0,19
5,42	0,18
5,44	0,21
5,47	0,20
5,49	0,21
5,51	0,21
5,54	0,19
5,56	0,20
5,59	0,19
5,61	0,17
5,64	0,18
5,66	0,17
5,68	0,16
5,71	0,19
5,73	0,20
5,76	0,20
5,78	0,20
5,81	0,20
5,83	0,21
5,86	0,22
5,88	0,19
5,90	0,19
5,93	0,18
5,95	0,18
5,98	0,18
6,00	0,18
6,03	0,19
6,05	0,20
6,08	0,20
6,10	0,21
6,12	0,21
6,15	0,20
6,17	0,22
6,20	0,21
6,22	0,20
6,25	0,20
6,27	0,19
6,30	0,19
6,32	0,19
6,34	0,18
6,37	0,19
6,39	0,18
6,42	0,17
6,44	0,20
6,47	0,20
6,49	0,21
6,52	0,20
6,54	0,20
6,56	0,21
6,59	0,22
6,61	0,20
6,64	0,21
6,66	0,20
6,69	0,20
6,71	0,20
6,73	0,20
6,76	0,19
6,78	0,19
6,81	0,19
6,83	0,20
6,86	0,20
6,88	0,19
6,91	0,20
6,93	0,20
6,95	0,21
6,98	0,20
